"DHIScode","MFL Code","name","is_surge","WardDHISCode","wardname","SubCountyDHISCode","subcounty","CountyDHISCode","County","Partner"
"oTQ1D3GoQBi","14507","Getarwet Dispensary","","dbSH3rqE3n1","Chemosot Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"rMFo6FPj2Cl","14584","Itare Dispensary","","w8SzXPBdjgq","Boito Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","No Partner"
"XOoJyLUlTMq","14622","Kabitungu Dispensary","","dbSH3rqE3n1","Chemosot Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"ITKVxJ2e6Ge","14625","Kaboeito Dispensary","","Fz7L53g5qRy","Tebesonik Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"e7MYm1LjA3C","14657","Kalaacha Dispensary","","rkbxH4r1ceD","Litein Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"GOhRziVaDUw","14706","Kapkatet District Hospital","","t6j6TDZfwrc","Kapkatet Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"H7gQUeop420","14718","Kapkisiara Dispensary","","Fz7L53g5qRy","Tebesonik Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"wss9mfEHkey","14757","Kapset Dispensary","","OFb6pB88hNT","Kimulot Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","No Partner"
"xcIUi9FXwmI","14760","Kapsinendet Dispensary ","","OFb6pB88hNT","Kimulot Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","No Partner"
"GRgX5U0AuAi","14764","Kapsogut Dispensary","","hLTIOtzQE9w","Cheboin Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"KoMmRMAOuAu","14780","Kaptembwo Dispensary","","w8SzXPBdjgq","Boito Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","HJF-South Rift Valley"
"xq93oD027lk","14783","Kaptien dispensary","","w8SzXPBdjgq","Boito Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"WjhjTLIS2V2","14827","Kenene Dispensary","","qqTlgrxWdkY","Cheplanget Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"rBHoolpQdPs","14828","Kenyagoro Dispensary","","w8SzXPBdjgq","Boito Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","HJF-South Rift Valley"
"dE0TgS1QxlF","14840","Kerol Health Services","","t6j6TDZfwrc","Kapkatet Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"FA4kFdRDWNX","14856","Kibugat Dispensary","","Fz7L53g5qRy","Tebesonik Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"U9I3GRIQiXP","14927","Kiptenden Dispensary (Buret)","","QMzAkzZkH34","Embomos Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","No Partner"
"sNZtws1IJTS","14929","Kiptewit Dispensary","","hLTIOtzQE9w","Cheboin Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"iux2dBHlVzj","14930","Kiptome Dispensary","","Fz7L53g5qRy","Tebesonik Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"jlIvgmGm0gR","14935","Kipwastuiyo Health Centre","","qqTlgrxWdkY","Cheplanget Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"uXqhVeVab1Y","14970","Koiwa Health Centre","","rWijSZrVU5U","Mogogosiek Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","HJF-South Rift Valley"
"k8w19MnkCIR","14971","Koiwa Medical Clinic","","w8SzXPBdjgq","Boito Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","HJF-South Rift Valley"
"AawtXdUefwb","14178","Litein (AIC) Mission Hospital","","rkbxH4r1ceD","Litein Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"o6wLT74mwk5","15039","Litein Dispensary","","rkbxH4r1ceD","Litein Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"ewhgUXk4YBV","15105","Mabasi Dispensary","","isMgPdVs6v0","Kisiara Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"0","15127","Maramara Dispensary","","","","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"O2EIvcf2efM","15195","Mogogosiek Health Centre","","rWijSZrVU5U","Mogogosiek Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","HJF-South Rift Valley"
"REWRimKizOG","15228","Mosore Dispensary","","isMgPdVs6v0","Kisiara Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"CHDLle1Hq9o","15475","Guandalupe dispensary","","isMgPdVs6v0","Kisiara Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"t5ezj03HWYj","15498","Roret Health Centre","","isMgPdVs6v0","Kisiara Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"oIINBTs0Aqs","15499","Roret Medical Clinic","","isMgPdVs6v0","Kisiara Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"OTDRr7eUM0V","15533","Satyet Dispensary","","QMzAkzZkH34","Embomos Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","No Partner"
"S6QG3RQBMma","15576","Simotwet Dispensary","","uMqAPTG5rm0","Chepchabas Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","HJF-South Rift Valley"
"jvB87WUXFeY","15585","Siomo Dispensary","","QMzAkzZkH34","Embomos Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","HJF-South Rift Valley"
"K4WauIIW5wh","15586","Siongi Dispensary","","Fz7L53g5qRy","Tebesonik Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"OazZ7QPI7xv","15618","Sosit Dispensary","","t6j6TDZfwrc","Kapkatet Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"sVieRplg6f3","15620","Sotit dispensary","","QMzAkzZkH34","Embomos Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"s7QVlyexLXH","15713","Tebesonik Dispensary","","Fz7L53g5qRy","Tebesonik Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","HJF-South Rift Valley"
"JNYfO0eMqbH","15717","Tenduet Dispensary","","uMqAPTG5rm0","Chepchabas Ward","PLFoYJO8MVS","Konoin","HMNARUV2CW4","Bomet","HJF-South Rift Valley"
"HkcGuOUD4GP","15746","Tulwet Dispensary (Buret)","","isMgPdVs6v0","Kisiara Ward","wt8cPHWfkfu","Bureti","ihZsJ8alvtb","Kericho","No Partner"
"HXJMJmTVPUt","14235","Barpello Dispensary","","LTWLjOZQMqk","Kolowa Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"vUatEiL3txf","14321","Chemolingot Health Centre","","XLsFzNATUQ2","Ribkwo Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","Afya Nyota ya Bonde"
"PO9Tw189WAW","16731","Chemsik Dispensary","","XLsFzNATUQ2","Ribkwo Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"P1IXfVtwfSV","16727","Chepkalacha Dispensary","","i4HY1pMsQ4q","Tangulbei/korossi Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"HxX500yuxqq","16736","Chepturu Dispensary","","LTWLjOZQMqk","Kolowa Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"atqyHUnqfqh","16728","Chesirimion Dispensary","","A7kJTCLxqNq","Loiyamorok Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"JNMSLmAAn4F","14392","Churo Dispensary","","gF0VBsLJhxK","Churo/amaya Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"EuZR4GnKQ3T","14473","EPM Tangulbei Dispensary","","i4HY1pMsQ4q","Tangulbei/korossi Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"ZphZMydyPR8","16726","Kalapata Dispensary","","i4HY1pMsQ4q","Tangulbei/korossi Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"IdM54nOB8vc","14678","Kamuria Dispensary","","HTbw8gm6kms","Tirioko Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"IEtF9rjRjaR","16725","Kaptuya Dispensary","","gF0VBsLJhxK","Churo/amaya Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"dXdR7XsR7PO","16737","Kapunyany Dispensary","","HTbw8gm6kms","Tirioko Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"gZlk5SZXMMJ","16733","Kipnai Dispensary","","LTWLjOZQMqk","Kolowa Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"KGfbcoxTJhh","14978","Kokwototo Dispensary","","i4HY1pMsQ4q","Tangulbei/korossi Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"U07xBlCoslL","14979","Kolloadispensary","","LTWLjOZQMqk","Kolowa Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"keO6tEKdEn1","14983","Komolion Dispensary","","i4HY1pMsQ4q","Tangulbei/korossi Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"VKlZO7TMUkR","14995","Kositei Dispensary","","XLsFzNATUQ2","Ribkwo Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"ASn0tF8X1Ks","15053","Loiwat Dispensary","","LTWLjOZQMqk","Kolowa Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"kUVH2XUzrvY","15091","Loruk Dispensary (East Pokot)","","A7kJTCLxqNq","Loiyamorok Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"sWGOP2Sk0d3","15141","Maron Dispensary","","XLsFzNATUQ2","Ribkwo Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"ThdIx0oeAzb","15249","Mukutani Dispensary (East Pokot)","","i4HY1pMsQ4q","Tangulbei/korossi Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"rLsbZAD31Sh","16729","Nakoko Dispensary","","k2oUoGgQ9Nd","Silale Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"u8Cpa4sHs51","15347","Nginyang Health Centre","","A7kJTCLxqNq","Loiyamorok Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"K7qFcEy5ljh","15352","Ngoron Dispensary","","HTbw8gm6kms","Tirioko Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"eAzSSptVvim","16732","Nyakwala Dispensary","","XLsFzNATUQ2","Ribkwo Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"dv9yMrVQBCv","16735","Nyaunyau Dispensary","","A7kJTCLxqNq","Loiyamorok Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"cDH8mPvTrAr","16734","Ptigchi Dispensary","","HTbw8gm6kms","Tirioko Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"ZFAXA14lxuF","15486","Riongo Dispensary","","k2oUoGgQ9Nd","Silale Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"dEhqpnG2ZN2","16730","Seretion Dispensary","","XLsFzNATUQ2","Ribkwo Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"syfJgdyBYs3","15707","Tangulbei Dispensary","","i4HY1pMsQ4q","Tangulbei/korossi Ward","Mk4bMOSMRTB","Tiaty","vvOK1BxTbet","Baringo","No Partner"
"yvHLTdpzuNc","16350","Ainabkoi RCEA Health Centre","","keTxMrb6Oag","Ainabkoi/Olare Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"g73LYiD5P06","16347","Burnt Forest SDH (Eldoret East)","1","keTxMrb6Oag","Ainabkoi/Olare Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"q87Biem3tPi","14280","Cedar Associate Clinic","","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"Brm6Pa4lqtK","14317","Chembulet Health Centre","","ZDarbsCJmOy","TEMBELIO WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"hmwxjORtUnv","14335","Chepkanga Health Centre","1","TCTO059sj6I","SERGOIT WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"ZkaUsGnIX5o","14340","Chepkero Dispensary","","cYwuj1W0Wux","Kaptagat Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"Q7WmVW0gNmv","14343","Chepkoilel Campus Dispensary","","TCTO059sj6I","SERGOIT WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"We7muGGOPWT","14355","Chepngoror Dispensary ","","keTxMrb6Oag","Ainabkoi/Olare Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"uqOLICvq7Tr","16353","Dr. Nabakwe Clinic","","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","No Partner"
"KHqknWuikOu","16355","Dr. Nyandiko Clinic","","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","No Partner"
"bvNdpB9XNs0","14435","Eldoret Hospital","","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","No Partner"
"tC59iAtOoEh","14437","Elgeyo Boader Dispensary","","ZDarbsCJmOy","TEMBELIO WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"ay5PGGqDcSh","16349","EMC Kimumu Dispensary","","VUb1Te4ZsaL","KIMUMU WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"LlzH0YaH2nB","16348","Family Care Medical Centre- ELD","","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","No Partner"
"s6uqKjvWZ5a","14519","GK Prisons Dispensary (Eldoret East)","","VUb1Te4ZsaL","KIMUMU WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","Healthstrat TACT programme"
"CECltgBfskA","16352","Hospice Dispensary","","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","No Partner"
"N1s8GsnLbt2","14570","Ilula Dispensary","","keTxMrb6Oag","Ainabkoi/Olare Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","No Partner"
"bnnMKRCLjKt","16354","Kapkei Dispensary","","ZDarbsCJmOy","TEMBELIO WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"Kx3K770Y8cZ","14744","Kapngetuny Dispensary","","keTxMrb6Oag","Ainabkoi/Olare Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"WmVkqxdy4xB","14769","Kapsoya Health Centre","1","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"yMpSNwTWwTp","14804","Karuna Dispensary","","AwwBKeGhmam","Karuna-Meibeki Ward","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"GoeSol38aEH","14819","Katuiyo Dispensary","","cYwuj1W0Wux","Kaptagat Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"CIBsrLHMOUb","14879","Kimoning Dispensary","","ZDarbsCJmOy","TEMBELIO WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"RyQUcptH76k","14893","Kipkabus Health Centre","","keTxMrb6Oag","Ainabkoi/Olare Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"akeQfV71hZD","14963","Koibatal Medical","","ZDarbsCJmOy","TEMBELIO WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","No Partner"
"w3QijShtnYN","15037","Limo Surgical Hospital","","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","No Partner"
"YNrTtyW64AI","15147","Mary Immaculate Dispensary (Eldoret East)","","cYwuj1W0Wux","Kaptagat Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"TIMlJYy9SAV","15167","Mediheal Hospital","1","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"JnRzMlc40Fb","15169","Meibeki Dispensary","","AwwBKeGhmam","Karuna-Meibeki Ward","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"R4pTsCSueeh","15204","Moi Teaching Refferal Hospital","1","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"M7BDO72aXZy","15206","Moiben Health Centre","1","mKtIgRuq39B","MOIBEN WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"TeGU1TvxL29","15264","Muyengwet Dispensary","","ZDarbsCJmOy","TEMBELIO WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"giAXqfSGCkg","15354","Ngurunga Dispensary","","TCTO059sj6I","SERGOIT WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","No Partner"
"RpW4L3sZsvi","15464","Plateau Hospital","","cYwuj1W0Wux","Kaptagat Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"veA7Idvc4Gz","15552","Sergoit Clinic","","TCTO059sj6I","SERGOIT WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","No Partner"
"JIlI90QdJAu","15553","Sergoit Dispensary (Eldoret East)","","TCTO059sj6I","SERGOIT WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","No Partner"
"rD762Jwlsgq","15577","Simotwo Dispensary (Eldoret East)","","mKtIgRuq39B","MOIBEN WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"uTKCtfaYGm3","15655","St Marys Kapsoya Health Centre","","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"dCSpmHY7F2R","15674","State Lodge Dispensary","","H9e1tEercdW","Kapsoya Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"HBVsqc7MSxz","15706","Tangasir Dispensary","","AwwBKeGhmam","Karuna-Meibeki Ward","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"C1bgNia0L4g","15741","Tugen Estate Dispensary","","TCTO059sj6I","SERGOIT WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"XgPvHO9BVLF","16351","Twiga Dispensary","","mKtIgRuq39B","MOIBEN WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"BnJMDZDz0qa","15758","Uasin Gishu District Hospital","1","VUb1Te4ZsaL","KIMUMU WARD","q8R0FA1hxnP","Moiben","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"tiYkFi2qKxp","15759","Uhuru Dispensary","","cYwuj1W0Wux","Kaptagat Ward","mYlMs4xTj82","Ainabkoi","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"MHLswr1Q2ax","16359","Ancilla Catholic  Dispensary","","cSNEKHwtiWH","Kapkures Ward","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","No Partner"
"wMXVqPMsRUD","14239","Barsombe Dispensary (Soy)","","LXgF3A1KBLn","Segeroi/Barsombe Ward","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"0","14240","Barsombe Dispensary (Turbo)","","","","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","No Partner"
"lHpP2pEFSAC","14288","Chebaiwa Dispensary","","NXNdgSCo71E","NGENYILEL WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"BheaAPIg155","14337","Chepkemel Dispensary","","NXNdgSCo71E","NGENYILEL WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"XwAxhnsVoev","14354","Cheplaskei Dispensary","","w6dTkyKAgzB","TAPSAGOI WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"UvPHBmZnKIu","14358","Chepsaita Dispensary","","NXNdgSCo71E","NGENYILEL WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"tI2BjAPrXQZ","14377","Cheramei Dispensary","","P1RSkho9WMu","KAMAGUT WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"TpTjgnvONdY","14390","Chukura Dispensary","","cSNEKHwtiWH","Kapkures Ward","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"it85wWtSqRp","14555","Huruma Sub-District Hospital","1","GCgCUcOL0Mz","Huruma Ward","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"JXffziAqjrf","16357","Imani Dispensary","","P1RSkho9WMu","KAMAGUT WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"0","16360","Jumia Medical Clinic","","","","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","No Partner"
"asFQQ5jOCl8","14624","Kabobo Health Centre","","DUsGbpnzvet","Ziwa Ward","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"c5oIJVPmQ7m","14799","Kapyemit Dispensary","","Itj44Rse7au","Kapsaos Ward","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"csRmTYlLYxQ","14848","Kibagenge Dispensary","","LXgF3A1KBLn","Segeroi/Barsombe Ward","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"zXrEavKOTss","14883","Kimulat Clinic","","wyQ3FlLalVy","MOI'S BRIDGE WARD","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","No Partner"
"kSUVNUjRdy8","14904","Kiplombe Dispensary","","U9vp5b6AuGm","KIPLOMBE WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"N7mqOdA1Wf6","14915","Kipsigak Dispensary (Eldoret)","","DUsGbpnzvet","Ziwa Ward","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"K4MH0IJvNEZ","14999","Kuinet Dispensary","","HglOFYGPmKB","Kuinet/Kapsuswa Ward","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"i8mxHhYuPf0","15025","Lemoru Ngeny Dispensary","","LXgF3A1KBLn","Segeroi/Barsombe Ward","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"E6tSrVKpMzI","15135","Marie Stopes Health Centre (Eldoret West)","","GCgCUcOL0Mz","Huruma Ward","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","No Partner"
"SZSRCK3TjZN","15177","Merewet Dispensary","","m7g3tve46XL","SOY WARD","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"SRrrMiTiEjv","15191","Mobet Dispensary","","tSBIbHLo6tl","KIPSOMBA WARD","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"wHOcgRHKub9","15196","Mogoon Dispensary","","cSNEKHwtiWH","Kapkures Ward","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"wsodBYGquwj","15208","Mois Bridge Catholic","","wyQ3FlLalVy","MOI'S BRIDGE WARD","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"cxqZPcA0nwV","15209","Mois Bridge Health Centre","1","wyQ3FlLalVy","MOI'S BRIDGE WARD","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"WGmDNNmtoii","15254","Murgor Hills Medical Clinc","","w6dTkyKAgzB","TAPSAGOI WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"s42TsSZ7ePn","15255","Murgusi Dispensary","","NXNdgSCo71E","NGENYILEL WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"ctpndI2zilA","16356","Mwangaza Medical Clinic","","GCgCUcOL0Mz","Huruma Ward","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"PwSKAiPA49K","15317","Ndabarnach Clinic","","wyQ3FlLalVy","MOI'S BRIDGE WARD","lmr1q6dTaso","Soy","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"urik0ldENYT","15344","Ngenyilel Dispensary","","NXNdgSCo71E","NGENYILEL WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
"Ez5WwZsAFCN","15449","Osorongai Dispensary","","NXNdgSCo71E","NGENYILEL WARD","KuprsuBe1l0","Turbo","pZqQRRW7PHP","Uasin Gishu","AMPATH Plus"
